,Survived,Class,Sex,Age,Sibling/Spouse,Parent/Child,Ticket,Price
0,No,3,male,34,0,0,330911,7.8292
1,Yes,3,female,47,1,0,363272,7.0
2,No,2,male,62,0,0,240276,9.6875
3,No,3,male,27,0,0,315154,8.6625
4,Yes,3,female,22,1,1,3101298,12.2875
5,No,3,male,14,0,0,7538,9.225
6,Yes,3,female,30,0,0,330972,7.6292
7,No,2,male,26,1,1,248738,29.0
8,Yes,3,female,18,0,0,2657,7.2292
9,No,3,male,21,2,0,48871,24.15
10,No,3,male,30,0,0,349220,7.8958
11,No,1,male,46,0,0,694,26.0
12,Yes,1,female,23,1,0,21228,82.2667
13,No,2,male,63,1,0,24065,26.0
14,Yes,1,female,47,1,0,5734,61.175
15,Yes,2,female,24,1,0,2167,27.7208
16,No,2,male,35,0,0,233734,12.35
17,No,3,male,21,0,0,2692,7.225
18,Yes,3,female,27,1,0,3101270,7.925
19,Yes,3,female,45,0,0,2696,7.225
20,No,1,male,55,1,0,17603,59.4
21,No,3,male,9,0,1,17368,3.1708
22,Yes,1,female,30,0,0,17598,31.6833
23,No,1,male,21,0,1,17597,61.3792
24,Yes,1,female,48,1,3,17608,262.375
25,No,3,male,50,1,0,3337,14.5
26,Yes,1,female,22,0,1,113509,61.9792
27,No,3,male,22,0,0,2698,7.225
28,No,1,male,41,0,0,113054,30.5
29,No,3,male,30,2,0,2662,21.6792
30,No,2,male,50,1,0,3085,26.0
31,No,2,male,24,2,0,31029,31.5
32,Yes,3,female,33,1,2,2315,20.575
33,Yes,3,female,30,1,2,6607,23.45
34,No,1,male,30,1,0,13236,57.75
35,No,3,male,18,0,0,2682,7.2292
36,Yes,3,female,30,0,0,342712,8.05
37,Yes,3,female,21,0,0,315087,8.6625
38,No,3,male,25,0,0,345768,9.5
39,No,3,male,30,0,0,1601,56.4958
40,No,3,male,39,0,1,349256,13.4167
41,No,1,male,30,0,0,113778,26.55
42,No,3,male,41,0,0,3101263,7.85
43,Yes,2,female,30,0,0,237249,13.0
44,Yes,1,female,45,1,0,11753,52.5542
45,No,3,male,25,0,0,3101291,7.925
46,No,1,male,45,0,0,17594,29.7
47,No,3,male,30,0,0,370374,7.75
48,Yes,1,female,60,0,0,11813,76.2917
49,Yes,3,female,36,0,2,37671,15.9
50,No,1,male,24,1,0,13695,60.0
51,No,2,male,27,0,0,2168,15.0333
52,Yes,2,female,20,2,1,29105,23.0
53,Yes,1,female,28,3,2,19950,263.0
54,No,2,male,30,0,0,2861,15.5792
55,No,3,male,10,4,1,382652,29.125
56,No,3,male,35,0,0,349230,7.8958
57,No,3,male,25,0,0,348122,7.65
58,No,3,male,30,1,0,386525,16.1
59,Yes,1,female,36,0,0,17608,262.375
60,No,3,male,17,0,0,349232,7.8958
61,No,2,male,32,0,0,237216,13.5
62,No,3,male,18,0,0,347090,7.75
63,Yes,3,female,22,0,0,334914,7.725
64,No,1,male,13,2,2,17608,262.375
65,Yes,2,female,30,0,0,13534,21.0
66,Yes,3,female,18,0,0,330963,7.8792
67,No,1,male,47,0,0,113796,42.4
68,No,1,male,31,0,0,2543,28.5375
69,Yes,1,female,60,1,4,19950,263.0
70,Yes,3,female,24,0,0,382653,7.75
71,No,3,male,21,0,0,349211,7.8958
72,Yes,3,female,29,0,0,3101297,7.925
73,No,1,male,28,0,0,17562,27.7208
